ORL - EXECUTIVE,ORLANDO / USFL,INTERNACIONAL
ISM - KISSIMMEE GATEWAY,ORLANDO / USFL,INTERNACIONAL
MCO - ORLANDO INTL,ORLANDO / USFL,INTERNACIONAL
SFB - SANFORD INTL,ORLANDO / USFL,INTERNACIONAL
YND - GATINEAU,OTTAWA / CAON,INTERNACIONAL
YOW - MACDONALD CARTIER INTL,OTTAWA / CAON,INTERNACIONAL
YRO - ROCKCLIFFE,OTTAWA / CAON,INTERNACIONAL
PAC - MARCOS A GELABERT INTL,PANAMA CITY / PA,INTERNACIONAL
PTY - TOCUMEN INTL,PANAMA CITY / PA,INTERNACIONAL
BVA - BEAUVAIS TILLE,PARIS / FR,INTERNACIONAL
XCR - CHALONS VATRY,PARIS  /FR,INTERNACIONAL
CDG - CHARLES DE GAULLE,PARIS / FR,INTERNACIONAL
LBG - LE BOURGET,PARIS / FR,INTERNACIONAL
ORY - ORLY,PARIS / FR,INTERNACIONAL
POX - PONTOISE CORMEILLES,PARIS / FR,INTERNACIONAL
TNF - TOUSSUS LE NOBLE,PARIS / FR,INTERNACIONAL
VIY - VILLACOUBLAY VELIZY,PARIS / FR,INTERNACIONAL
PMV - DEL CARIBE SANTIAGO MARIÑO,PORLAMAR / VE,NACIONAL
POS - PIARCO INTL,PORT OF SPAIN / TT,INTERNACIONAL
OPO - FRANCISCO SA CARNEIRO,PORTO / PT,INTERNACIONAL
POA - SALGADO FILHO INTL,PORTO ALEGRE / BRRS,INTERNACIONAL
PBL - BARTOLOME SALOM INTL,PUERTO CABELLO / VE,NACIONAL
PZO - MANUEL CARLOS PIAR,PUERTO ORDAZ / VE,NACIONAL
PUJ - INTERNATIONAL,PUNTA CANA / DO,INTERNACIONAL
LSP - LAS PIEDRAS JOSEFA CAMEJO,PUNTO FIJO / VE,NACIONAL
YQB - JEAN LESAGE INTL,QUEBEC / CAQC,INTERNACIONAL
GIG - GALEAO AC JOBIM INTL,RIO DE JANEIRO / BRRJ,INTERNACIONAL
SNZ - SANTA CRUZ AB,RIO DE JANEIRO / BRRJ,INTERNACIONAL
SDU - SANTOS DUMONT,RIO DE JANEIRO / BRRJ,INTERNACIONAL
CIA - CIAMPINO,ROME / IT,INTERNACIONAL
FCO - FIUMICINO,ROME / IT,INTERNACIONAL
SSA - D.L.E.MAGALHAES,SALVADOR / BRBA,INTERNACIONAL
SNF - NESTOR ARIAS,SAN FELIPE / VE,NACIONAL
SFD - LAS FLACHERAS,SAN FERNANDO APURE / VE,NACIONAL
SFO - SAN FRANCISCO INTL,SAN FRANCISCO / USCA,INTERNACIONAL
SJO - JUAN SANTAMARIA,SAN JOSE / CR,INTERNACIONAL
SYQ - TOBIAS BOLANOS INTL,SAN JOSE / CR,INTERNACIONAL
SIG - F.L. RIBAS DOMINICCI,SAN JUAN / PR,INTERNACIONAL
SJU - LUIS MUNOZ MARIN,SAN JUAN / PR,INTERNACIONAL
SAL - EL SALVADOR INTL,SAN SALVADOR / SV,INTERNACIONAL
SOM - DON EDMUNDO BARRIOS,SAN TOME / VE,NACIONAL
SCL - A MERINO BENITEZ,SANTIAGO / CL,INTERNACIONAL
SCQ - SANTIAGO DE COMPOSTELA,SANTIAGO DE COMPOSTELA / ES,INTERNACIONAL
SCU - ANTONIO MACEO INTL,SANTIAGO DE CUBA / CU,INTERNACIONAL
STI - CIBAO INTL,SANTIAGO / DO,INTERNACIONAL
SDQ - LAS AMERICAS INTL,SANTO DOMINGO / DO,INTERNACIONAL
STD - BUENAVENTURA VIVAS,SANTO DOMINGO / VE,NACIONAL
OLC - SAO PAULO DE OLIVENCA,SAO PAULO DE OLIVENCA / BRAM,INTERNACIONAL
CGH - CONGONHAS,SAO PAULO / BRSP,INTERNACIONAL
GRU - GUARULHOS INTL,SAO PAULO / BRSP,INTERNACIONAL
VCP - VIRACOPOS CAMPINAS INT,SAO PAULO / BRSP,INTERNACIONAL
SHA - HONGQIAO INTL,SHANGHAI / CN,INTERNACIONAL
PVG - PUDONG INTL,SHANGHAI / CN,INTERNACIONAL
SER - ALCANTARI,SUCRE / BO,INTERNACIONAL
TFN - TENERIFE NORTE,TENERIFE / ES,INTERNACIONAL
TFS - TENERIFE SUR,TENERIFE / ES,INTERNACIONAL
NRT - NARITA INTL,TOKYO / JP,INTERNACIONAL
HND - TOKYO INTL HANEDA,TOKYO / JP,INTERNACIONAL
YTZ - BILLY BISHOP CITY A,TORONTO / CAON,INTERNACIONAL
YKZ - BUTTONVILLE MUNICIPAL,TORONTO /CAON,INTERNACIONAL
YHM - HAMILTON JC MUNRO INTL,TORONTO / CAON,INTERNACIONAL
YYZ - LESTER B. PEARSON INTL,TORONTO / CAON,INTERNACIONAL
YKF - REGION OF WATERLOO INT,TORONTO/CAON,INTERNACIONAL
TUV - SAN RAFAEL,TUCUPITA / VE,NACIONAL
VLC - ALENCIA AIRPORT,VALENCIA / ES,INTERNACIONAL
VLN - ARTURO MICHELENA INTL,VALENCIA / VE,NACIONAL
VLV - ANTONIO N.BRICENO,VALERA / VE,NACIONAL
YDT - BOUNDARY BAY,VANCOUVER / CABC,INTERNACIONAL
CXH - HARBOUR SPB,VANCOUVER / CABC,INTERNACIONAL
YVR - INTERNATIONAL,VANCOUVER / CABC,INTERNACIONAL
